Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Hong Kong Football Club M1B,3,2,1,9,7,2
Hong Kong Football Club M1A,3,2,1,6,4,5
Hong Kong Cricket Club M1A,4,1,3,5,4,8
Ladies Recreation Club M1,2,1,1,5,4,2
Hong Kong Cricket Club M1B,2,1,1,3,2,4
