Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
The Squash Club 2,3,3,0,14,11,4
Hong Kong Football Club 7B,4,2,2,14,12,8
Kowloon Cricket Club 7,3,2,1,10,8,7
Xavier,3,2,1,10,8,7
Hong Kong Cricket Club 6,3,2,1,10,8,7
Physical Chess 2,4,1,3,10,9,11
Twister 2,4,0,4,4,4,16
