Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club 1A,4,4,0,14,10,2
Hong Kong Cricket Club 1,4,4,0,12,8,4
Hong Kong Football Club 1A,4,2,2,8,6,6
Hong Kong Football Club 1B,4,1,3,6,5,7
FWD,4,1,3,6,5,7
Kowloon Cricket Club 1B,4,0,4,2,2,10
