Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
BOSS,6,5,1,26,21,9,0,0,0,0
Sha Tin 5,5,5,0,23,18,7,0,0,0,0
Global Squash 2,6,4,2,21,17,13,0,0,0,0
Kinetic 3,5,5,0,20,15,10,0,0,0,0
The Squash Club 3,6,3,3,20,17,13,0,0,0,0
Star River 1,6,3,3,18,15,15,0,0,0,0
Tuen Mun Squash Club,6,3,3,17,14,16,0,0,0,0
7NT,6,1,5,14,13,17,0,0,0,0
HKCC Tuesday Night Rockers,6,1,5,12,11,19,0,0,0,0
i-Mask Advance Squash Club 4,5,1,4,12,11,14,0,0,0,0
Invader Squash,7,1,6,9,8,27,0,0,0,0
