Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Electrify Squash Div 13,7,7,0,39,32,3,0,1,0,0
Sha Tin 6,6,5,1,28,23,7,0,6,0,0
Fusion Squash Club 2,7,5,2,24,19,16,5,0,0,0
X-Alpha 5,6,4,2,22,18,12,0,5,0,0
Energy Squash Club 1,7,3,4,19,16,19,4,7,0,0
i-Mask Advance Squash Club 5,7,3,4,19,16,19,6,9,0,0
Yuen Long District Sports Association Limited,7,3,4,19,16,19,0,10,0,0
Energy Squash Club 2,7,3,4,18,15,20,8,2,0,0
SocGen Squash,7,2,5,18,16,19,6,0,0,0
HKIS Div 13,7,2,5,15,13,22,11,0,0,0
Kinetic 4,6,2,4,12,10,20,2,2,0,0
Happy Squash 4,6,1,5,7,6,24,0,0,0,0
