Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
TNG 1,14,13,1,67,55,15,0,8,0,0
TNG 2,14,11,3,57,48,22,3,5,1,0
Greenfield,14,10,4,56,46,24,0,10,0,0
Royal Hong Kong Yacht Club Div 13,14,10,4,53,43,27,0,4,0,0
Arctic Circle,14,7,7,44,37,33,5,3,0,0
Squashathon PLZ,14,6,8,44,38,32,0,4,0,0
North District Sports Association 2,14,7,7,41,34,36,0,2,0,0
Bravo D13,14,6,8,37,31,39,9,7,0,0
Vitality Squash 3,14,5,9,27,22,48,16,0,0,1
M&M Squash,14,4,10,26,24,46,3,0,1,0
Physical Chess 4,14,3,11,25,23,47,11,4,0,0
Star River 3,14,2,12,21,19,51,0,0,0,1
