Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
United Services Recreation Club M4,14,11,3,60,49,21,0,0,0,0
SKCSC,14,11,3,57,46,24,0,0,0,0
Hong Kong Football Club M4A,14,9,5,53,44,26,0,0,0,0
Hong Kong Football Club M4B,14,7,7,44,37,33,0,0,0,0
Royal Hong Kong Yacht Club M4,14,7,7,39,32,38,0,1,0,0
WAKO,14,6,8,38,32,38,0,0,0,0
Hong Kong Club Blue,14,3,11,27,24,46,0,1,0,0
Bolton,14,2,12,18,16,54,2,0,0,0
