Team,Played,Won,Lost,Points
Hong Kong Football Club M1B,11,9,2,34
Hong Kong Football Club M1A,11,9,2,32
Hong Kong Cricket Club M1A,10,4,6,20
Hong Kong Cricket Club M1B,11,3,8,14
Squashathon M+,11,2,9,8
