Team,Played,Won,Lost,Points
Sha Tin 4,13,13,0,75
RELAY 1,13,11,2,59
Thunder 2,13,9,4,47
Kwai Tsing District Squash Club,13,7,6,42
Banbil,13,7,6,40
Hong Kong Cricket Club D10,12,7,5,39
United Services Recreation Club 3,13,6,7,39
Squashathon Advance,12,4,8,23
Mercury,12,3,9,23
i-Mask Advance Squash Club 4,13,2,11,20
Bravo D10,13,1,12,12
