Team,Played,Won,Lost,Points
JESSICA L1,1,1,0,3
Kowloon Cricket Club L1B,1,1,0,3
Hong Kong Football Club L1,1,0,1,1
Kowloon Cricket Club L1A,1,0,1,1
Hong Kong Cricket Club L1,0,0,0,0
