Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Police 2,Friend Club 6,Police Sports & Recreation Club (PSRC),15,17/02/2017,3-2,"['0-3', '1-3', '3-1', '3-0', '3-0']",3,2,10,7
Phresh 3,Police 2,Pei Ho Street (PHSSC),16,24/02/2017,4-1,"['3-0', '3-0', '0-3', '3-0', '3-0']",4,1,12,3
Yuen Long Jr 2,i-MASK Advance Squash Club 9,Kwun Chung (KCSC),16,24/02/2017,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Friend Club 6,Kinetic 4,Cornwall Street (CSPSC),16,24/02/2017,3-2,"['0-3', '1-3', '3-0', '3-0', '3-1']",3,2,10,7
i-MASK Advance Squash Club 9,Friend Club 6,Cornwall Street (CSPSC),17,03/03/2017,2-3,"['2-3', '1-3', '3-0', '1-3', '3-0']",2,3,10,9
Yuen Long Jr 2,The Zero Squash Club 3,Kwun Chung (KCSC),17,03/03/2017,4-1,"['3-0', '0-3', '3-0', '3-0', '3-0']",4,1,12,3
Phresh 3,Kinetic 4,Pei Ho Street (PHSSC),17,03/03/2017,3-2,"['0-3', '3-1', '1-3', '3-1', '3-0']",3,2,10,8
Kinetic 4,Police 2,Yuen Long Jockey Club (YLJCSC),18,10/03/2017,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Phresh 3,i-MASK Advance Squash Club 9,Pei Ho Street (PHSSC),18,10/03/2017,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Friend Club 6,The Zero Squash Club 3,Cornwall Street (CSPSC),18,10/03/2017,1-4,"['0-3', '1-3', '0-3', '2-3', '3-2']",1,4,6,14
i-MASK Advance Squash Club 9,Police 2,Cornwall Street (CSPSC),19,17/03/2017,0-5,"['1-3', '2-3', '0-3', '0-3', '0-3']",0,5,3,15
Yuen Long Jr 2,Friend Club 6,Kwun Chung (KCSC),19,17/03/2017,5-0,"['3-1', '3-1', '3-0', '3-0', '3-0']",5,0,15,2
The Zero Squash Club 3,Phresh 3,Cornwall Street (CSPSC),19,17/03/2017,4-1,"['3-1', '3-0', '3-0', '3-1', '1-3']",4,1,13,5
Yuen Long Jr 2,Phresh 3,Kwun Chung (KCSC),20,24/03/2017,4-1,"['3-1', '3-0', '3-0', '3-0', '0-3']",4,1,12,4
Kinetic 4,i-MASK Advance Squash Club 9,Yuen Long Jockey Club (YLJCSC),20,24/03/2017,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Police 2,The Zero Squash Club 3,Police Sports & Recreation Club (PSRC),20,24/03/2017,2-3,"['0-3', '2-3', '3-0', '1-3', '3-1']",2,3,9,10
Friend Club 6,Kinetic 4,Cornwall Street (CSPSC),21,31/03/2017,0-5,"['WO', 'WO', 'WO', 'WO', 'WO']",0,5,0,15
Phresh 3,Police 2,Pei Ho Street (PHSSC),21,31/03/2017,5-0,"['3-1', '3-0', '3-0', '3-0', '3-2']",5,0,15,3
Yuen Long Jr 2,i-MASK Advance Squash Club 9,Kwun Chung (KCSC),21,31/03/2017,5-0,"['3-0', '3-0', '3-0', '3-0', 'WO']",5,0,15,0
