Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Global 1,The Squash Club 1,HK Squash Centre (HKSC),1,03/10/2016,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Hong Kong Cricket Club 3,Hong Kong Football Club 8A,Hong Kong Cricket Club (HKCC),1,03/10/2016,3-2,"['3-0', '0-3', '3-1', '3-0', '0-3']",3,2,9,7
Perrier KCC 6,Police 1,Kowloon Cricket Club (KCC),1,03/10/2016,3-2,"['0-3', '1-3', '3-1', '3-0', '3-1']",3,2,10,8
Hong Kong Football Club 8A,Perrier KCC 6,Hong Kong Football Club (HKFC),2,17/10/2016,1-4,"['3-0', '0-3', '1-3', '0-3', '2-3']",1,4,6,12
Police 1,Global 1,Police Sports & Recreation Club (PSRC),2,17/10/2016,3-2,"['3-2', '3-1', '3-1', '1-3', '0-3']",3,2,10,10
Hong Kong Cricket Club 3,The Squash Club 1,Hong Kong Cricket Club (HKCC),2,17/10/2016,2-3,"['3-1', '0-3', '1-3', '0-3', '3-1']",2,3,7,11
Hong Kong Cricket Club 3,Perrier KCC 6,Hong Kong Cricket Club (HKCC),3,24/10/2016,0-5,"['0-3', '1-3', '1-3', '0-3', '0-3']",0,5,2,15
Hong Kong Football Club 8A,Global 1,Hong Kong Football Club (HKFC),3,24/10/2016,1-4,"['2-3', '3-2', '1-3', '2-3', '2-3']",1,4,10,14
The Squash Club 1,Police 1,Cornwall Street (CSPSC),3,24/10/2016,1-4,"['0-3', '3-0', '0-3', '0-3', '0-3']",1,4,3,12
Perrier KCC 6,Global 1,Kowloon Cricket Club (KCC),4,31/10/2016,4-1,"['0-3', '3-0', '3-1', '3-1', '3-0']",4,1,12,5
Hong Kong Cricket Club 3,Police 1,Hong Kong Cricket Club (HKCC),4,31/10/2016,2-3,"['3-0', '0-3', '0-3', '3-1', '2-3']",2,3,8,10
The Squash Club 1,Hong Kong Football Club 8A,Cornwall Street (CSPSC),4,31/10/2016,0-5,"['1-3', '0-3', '0-3', '0-3', '0-3']",0,5,1,15
Hong Kong Football Club 8A,Police 1,Hong Kong Football Club (HKFC),5,07/11/2016,1-4,"['0-3', '3-0', '0-3', '0-3', '0-3']",1,4,3,12
Global 1,Hong Kong Cricket Club 3,HK Squash Centre (HKSC),5,07/11/2016,3-2,"['1-3', '3-0', '2-3', '3-2', '3-1']",3,2,12,9
The Squash Club 1,Perrier KCC 6,Cornwall Street (CSPSC),5,07/11/2016,2-3,"['3-1', '3-0', '2-3', '0-3', '0-3']",2,3,8,10
Police 1,Perrier KCC 6,Police Sports & Recreation Club (PSRC),6,14/11/2016,1-4,"['3-1', '1-3', '2-3', '0-3', '1-3']",1,4,7,13
The Squash Club 1,Global 1,Cornwall Street (CSPSC),6,14/11/2016,1-4,"['0-3', '0-3', '3-0', '0-3', '2-3']",1,4,5,12
Hong Kong Football Club 8A,Hong Kong Cricket Club 3,Hong Kong Football Club (HKFC),6,14/11/2016,3-2,"['0-3', '3-0', '2-3', '3-0', '3-0']",3,2,11,6
Global 1,Police 1,HK Squash Centre (HKSC),7,21/11/2016,3-2,"['0-3', '3-0', '3-1', '3-0', '2-3']",3,2,11,7
The Squash Club 1,Hong Kong Cricket Club 3,Cornwall Street (CSPSC),7,21/11/2016,2-3,"['3-0', '2-3', '3-0', '1-3', '0-3']",2,3,9,9
Perrier KCC 6,Hong Kong Football Club 8A,Kowloon Cricket Club (KCC),7,21/11/2016,2-3,"['2-3', '3-1', '0-3', '3-0', '0-3']",2,3,8,10
Police 1,The Squash Club 1,Police Sports & Recreation Club (PSRC),8,28/11/2016,4-1,"['3-0', '1-3', '3-0', '3-0', '3-1']",4,1,13,4
Global 1,Hong Kong Football Club 8A,HK Squash Centre (HKSC),8,28/11/2016,3-2,"['3-2', '3-0', '0-3', '3-0', '0-3']",3,2,9,8
Perrier KCC 6,Hong Kong Cricket Club 3,Kowloon Cricket Club (KCC),8,28/11/2016,5-0,"['3-2', '3-1', '3-1', '3-0', '3-0']",5,0,15,4
Police 1,Hong Kong Cricket Club 3,Police Sports & Recreation Club (PSRC),9,05/12/2016,5-0,"['3-1', '3-0', '3-2', '3-0', '3-1']",5,0,15,4
Global 1,Perrier KCC 6,HK Squash Centre (HKSC),9,05/12/2016,2-3,"['3-2', '1-3', '0-3', '3-2', '0-3']",2,3,7,13
The Squash Club 1,Hong Kong Football Club 8A,Cornwall Street (CSPSC),9,05/12/2016,3-2,"['3-2', '0-3', '3-2', '3-0', '0-3']",3,2,9,10
Hong Kong Cricket Club 3,Global 1,Hong Kong Cricket Club (HKCC),10,12/12/2016,2-3,"['3-0', '3-1', '1-3', '1-3', '0-3']",2,3,8,10
Perrier KCC 6,The Squash Club 1,Kowloon Cricket Club (KCC),10,12/12/2016,4-1,"['2-3', '3-1', '3-0', '3-0', '3-0']",4,1,14,4
Police 1,Hong Kong Football Club 8A,Police Sports & Recreation Club (PSRC),10,12/12/2016,4-1,"['3-0', '3-0', '3-1', '3-2', '1-3']",4,1,13,6
Hong Kong Football Club 8A,Hong Kong Cricket Club 3,Hong Kong Football Club (HKFC),11,09/01/2017,2-3,"['3-0', '3-0', '2-3', '2-3', '0-3']",2,3,10,9
Global 1,The Squash Club 1,HK Squash Centre (HKSC),11,09/01/2017,3-2,"['3-0', '0-3', '3-0', '3-0', '0-3']",3,2,9,6
Police 1,Perrier KCC 6,Police Sports & Recreation Club (PSRC),11,09/01/2017,5-0,"['3-0', '3-2', '3-2', '3-2', '3-1']",5,0,15,7
Hong Kong Cricket Club 3,The Squash Club 1,Hong Kong Cricket Club (HKCC),12,16/01/2017,4-1,"['3-0', '1-3', '3-2', '3-2', '3-0']",4,1,13,7
Police 1,Global 1,Police Sports & Recreation Club (PSRC),12,16/01/2017,3-2,"['3-0', '3-0', '0-3', '3-0', '1-3']",3,2,10,6
Hong Kong Football Club 8A,Perrier KCC 6,Hong Kong Football Club (HKFC),12,16/01/2017,1-4,"['1-3', '3-0', '1-3', '1-3', '0-3']",1,4,6,12
The Squash Club 1,Police 1,Cornwall Street (CSPSC),13,06/02/2017,4-1,"['3-1', '3-0', '3-0', '2-3', '3-0']",4,1,14,4
Global 1,Hong Kong Football Club 8A,HK Squash Centre (HKSC),13,06/02/2017,2-3,"['1-3', '3-1', '1-3', '2-3', '3-0']",2,3,10,10
Hong Kong Cricket Club 3,Perrier KCC 6,Hong Kong Cricket Club (HKCC),13,06/02/2017,0-5,"['2-3', '1-3', '0-3', '0-3', '0-3']",0,5,3,15
Hong Kong Cricket Club 3,Police 1,Hong Kong Cricket Club (HKCC),14,13/02/2017,2-3,"['3-1', '0-3', '2-3', '2-3', '3-0']",2,3,10,10
Hong Kong Football Club 8A,The Squash Club 1,Hong Kong Football Club (HKFC),14,13/02/2017,1-4,"['0-3', '0-3', '3-0', '1-3', '2-3']",1,4,6,12
Global 1,Perrier KCC 6,HK Squash Centre (HKSC),14,13/02/2017,4-1,"['3-0', '3-0', '3-2', '3-2', '0-3']",4,1,12,7
Police 1,Hong Kong Football Club 8A,Police Sports & Recreation Club (PSRC),15,20/02/2017,3-2,"['3-1', '2-3', '0-3', '3-2', '3-1']",3,2,11,10
The Squash Club 1,Perrier KCC 6,Cornwall Street (CSPSC),15,20/02/2017,1-4,"['0-3', '3-2', '1-3', '1-3', '0-3']",1,4,5,14
Global 1,Hong Kong Cricket Club 3,HK Squash Centre (HKSC),15,20/02/2017,5-0,"['3-0', '3-1', '3-0', '3-0', '3-2']",5,0,15,3
Perrier KCC 6,Police 1,Kowloon Cricket Club (KCC),16,27/02/2017,3-2,"['0-3', '2-3', '3-1', '3-0', '3-1']",3,2,11,8
The Squash Club 1,Global 1,Cornwall Street (CSPSC),16,27/02/2017,2-3,"['1-3', '3-2', '2-3', '3-1', '2-3']",2,3,11,12
Hong Kong Cricket Club 3,Hong Kong Football Club 8A,Hong Kong Cricket Club (HKCC),16,27/02/2017,1-4,"['3-0', '2-3', '0-3', '1-3', '0-3']",1,4,6,12
Global 1,Police 1,HK Squash Centre (HKSC),17,06/03/2017,4-1,"['0-3', '3-0', '3-1', '3-1', '3-0']",4,1,12,5
The Squash Club 1,Hong Kong Cricket Club 3,Cornwall Street (CSPSC),17,06/03/2017,2-3,"['0-3', '3-0', '3-2', '1-3', '0-3']",2,3,7,11
Hong Kong Football Club 8A,Perrier KCC 6,Hong Kong Football Club (HKFC),17,06/03/2017,1-4,"['0-3', '3-0', '0-3', '1-3', '0-3']",1,4,4,12
Police 1,The Squash Club 1,Police Sports & Recreation Club (PSRC),18,13/03/2017,4-1,"['3-0', '3-0', '3-0', '1-3', '3-0']",4,1,13,3
Hong Kong Football Club 8A,Global 1,Hong Kong Football Club (HKFC),18,13/03/2017,1-4,"['0-3', '3-0', '0-3', '2-3', '2-3']",1,4,7,12
Perrier KCC 6,Hong Kong Cricket Club 3,Kowloon Cricket Club (KCC),18,13/03/2017,5-0,"['3-1', '3-1', '3-0', '3-0', 'WO']",5,0,15,2
