Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Bolton 1,United Services Recreation Club M4,Masters - HK Squash Centre (HKSC - M),1,06/10/2016,0-5,"['1-3', '0-3', '0-3', '0-3', '0-3']",0,5,1,15
Hong Kong Football Club M4,Royal Hong Kong Yacht Club M4,Hong Kong Football Club (HKFC),1,06/10/2016,0-5,"['0-3', '1-3', '1-3', '2-3', '0-3']",0,5,4,15
HK Club Blue,Jaws Master,HK CLUB,1,06/10/2016,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
WAKO Senior,Hong Kong Cricket Club M4,Masters - Java Road (JRSC - M),1,06/10/2016,2-3,"['2-3', '3-0', '0-3', '2-3', '3-2']",2,3,10,11
Royal Hong Kong Yacht Club M4,HK Club Blue,Royal Hong Kong Yacht Club (RHKYC),2,20/10/2016,4-1,"['1-3', '3-2', '3-0', '3-0', '3-2']",4,1,13,7
Jaws Master,Bolton 1,Masters - HK Squash Centre (HKSC - M),2,20/10/2016,5-0,"['3-1', '3-1', '3-2', '3-1', '3-0']",5,0,15,5
WAKO Senior,Hong Kong Football Club M4,Masters - Java Road (JRSC - M),2,20/10/2016,4-1,"['3-0', '3-0', '3-0', '3-0', '2-3']",4,1,14,3
United Services Recreation Club M4,Hong Kong Cricket Club M4,United Services Recreation Club (USRC),2,20/10/2016,4-1,"['3-0', '3-2', '3-0', '0-3', '3-2']",4,1,12,7
Hong Kong Cricket Club M4,Jaws Master,Hong Kong Cricket Club (HKCC),3,27/10/2016,0-5,"['1-3', '0-3', '1-3', '1-3', '0-3']",0,5,3,15
HK Club Blue,Bolton 1,HK CLUB,3,27/10/2016,5-0,"['3-0', '3-0', '3-2', '3-0', '3-0']",5,0,15,2
Hong Kong Football Club M4,United Services Recreation Club M4,Hong Kong Football Club (HKFC),3,27/10/2016,0-5,"['0-3', '0-3', '1-3', '0-3', '0-3']",0,5,1,15
Royal Hong Kong Yacht Club M4,WAKO Senior,Royal Hong Kong Yacht Club (RHKYC),3,27/10/2016,2-3,"['3-0', '1-3', '0-3', '0-3', '3-0']",2,3,7,9
Jaws Master,Hong Kong Football Club M4,Masters - HK Squash Centre (HKSC - M),4,03/11/2016,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Bolton 1,Hong Kong Cricket Club M4,Masters - HK Squash Centre (HKSC - M),4,03/11/2016,2-3,"['3-2', '3-2', '0-3', '0-3', '0-3']",2,3,6,13
WAKO Senior,HK Club Blue,Masters - Java Road (JRSC - M),4,03/11/2016,3-2,"['1-3', '2-3', '3-0', '3-0', '3-0']",3,2,12,6
United Services Recreation Club M4,Royal Hong Kong Yacht Club M4,United Services Recreation Club (USRC),4,03/11/2016,1-4,"['3-1', '1-3', '1-3', '2-3', '1-3']",1,4,8,13
Hong Kong Football Club M4,Bolton 1,Hong Kong Football Club (HKFC),5,10/11/2016,2-3,"['0-3', '3-2', '3-2', '1-3', '0-3']",2,3,7,13
Royal Hong Kong Yacht Club M4,Jaws Master,Royal Hong Kong Yacht Club (RHKYC),5,10/11/2016,3-2,"['1-3', '1-3', '3-0', '3-2', '3-0']",3,2,11,8
