Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Alpha CUHK 1,United Services Recreation Club 3,Chinese University of HK (CUHK),1,03/10/2016,2-3,"['2-3', '3-1', '0-3', '3-1', '0-3']",2,3,8,11
Head Shatin 3,i-MASK Advance Squash Club 6,Cornwall Street (CSPSC),1,03/10/2016,3-2,"['3-0', '3-2', '1-3', '3-0', '0-3']",3,2,10,8
Friend Club 5,The Zero Squash Club 1,Pei Ho Street (PHSSC),1,03/10/2016,4-1,"['3-1', '3-0', '3-1', '3-1', '1-3']",4,1,13,6
Hong Kong Football Club 8B,Alpha CUHK 1,Hong Kong Football Club (HKFC),2,17/10/2016,4-1,"['1-3', '3-2', '3-0', '3-0', '3-0']",4,1,13,5
The Zero Squash Club 1,Head Shatin 3,Cheung Fat (CFSC),2,17/10/2016,3-2,"['3-1', '2-3', '1-3', '3-2', '3-2']",3,2,12,11
Friend Club 5,United Services Recreation Club 3,Cornwall Street (CSPSC),2,17/10/2016,4-1,"['3-0', '3-0', '3-1', '3-0', '0-3']",4,1,12,4
i-MASK Advance Squash Club 6,The Zero Squash Club 1,Cornwall Street (CSPSC),3,24/10/2016,2-3,"['0-3', '3-2', '3-2', '0-3', '0-3']",2,3,6,13
United Services Recreation Club 3,Head Shatin 3,United Services Recreation Club (USRC),3,24/10/2016,2-3,"['0-3', '1-3', '3-0', '1-3', '3-0']",2,3,8,9
Friend Club 5,Hong Kong Football Club 8B,Cornwall Street (CSPSC),3,24/10/2016,2-3,"['1-3', '3-0', '3-2', '0-3', '0-3']",2,3,7,11
Hong Kong Football Club 8B,Head Shatin 3,Hong Kong Football Club (HKFC),4,31/10/2016,3-2,"['2-3', '3-2', '3-0', '1-3', '3-2']",3,2,12,10
United Services Recreation Club 3,i-MASK Advance Squash Club 6,United Services Recreation Club (USRC),4,31/10/2016,1-4,"['3-2', '0-3', '0-3', '0-3', '0-3']",1,4,3,14
Alpha CUHK 1,Friend Club 5,Chinese University of HK (CUHK),4,31/10/2016,2-3,"['3-0', '0-3', '0-3', '0-3', '3-0']",2,3,6,9
United Services Recreation Club 3,The Zero Squash Club 1,United Services Recreation Club (USRC),5,07/11/2016,0-5,"['0-3', '2-3', '1-3', '1-3', '0-3']",0,5,4,15
i-MASK Advance Squash Club 6,Hong Kong Football Club 8B,Cornwall Street (CSPSC),5,07/11/2016,1-4,"['0-3', '3-2', '0-3', '0-3', '0-3']",1,4,3,14
Head Shatin 3,Alpha CUHK 1,Cornwall Street (CSPSC),5,07/11/2016,3-2,"['0-3', '1-3', '3-0', '3-0', '3-0']",3,2,10,6
Friend Club 5,Head Shatin 3,Pei Ho Street (PHSSC),6,14/11/2016,4-1,"['3-1', '3-1', '3-1', '3-1', '1-3']",4,1,13,7
Alpha CUHK 1,i-MASK Advance Squash Club 6,Chinese University of HK (CUHK),6,14/11/2016,4-1,"['3-0', '3-2', '3-0', '3-2', '0-3']",4,1,12,7
The Zero Squash Club 1,Hong Kong Football Club 8B,Cheung Fat (CFSC),6,14/11/2016,1-4,"['3-1', '1-3', '0-3', '1-3', '0-3']",1,4,5,13
The Zero Squash Club 1,Alpha CUHK 1,Cheung Fat (CFSC),7,21/11/2016,4-1,"['3-1', '1-3', '3-2', '3-0', '3-0']",4,1,13,6
i-MASK Advance Squash Club 6,Friend Club 5,Cornwall Street (CSPSC),7,21/11/2016,1-4,"['1-3', '1-3', '0-3', '1-3', '3-0']",1,4,6,12
Hong Kong Football Club 8B,United Services Recreation Club 3,Hong Kong Football Club (HKFC),7,21/11/2016,5-0,"['3-1', '3-0', '3-0', '3-1', '3-2']",5,0,15,4
Alpha CUHK 1,United Services Recreation Club 3,Chinese University of HK (CUHK),8,28/11/2016,3-2,"['3-0', '3-1', '3-0', '2-3', '0-3']",3,2,11,7
i-MASK Advance Squash Club 6,Head Shatin 3,Cornwall Street (CSPSC),8,28/11/2016,4-1,"['3-1', '1-3', '3-1', '3-2', '3-1']",4,1,13,8
The Zero Squash Club 1,Friend Club 5,Cheung Fat (CFSC),8,28/11/2016,2-3,"['3-1', '3-1', '1-3', '1-3', '1-3']",2,3,9,11
Head Shatin 3,The Zero Squash Club 1,Cornwall Street (CSPSC),9,05/12/2016,2-3,"['2-3', '3-0', '3-0', '2-3', '0-3']",2,3,10,9
Alpha CUHK 1,Hong Kong Football Club 8B,Chinese University of HK (CUHK),9,05/12/2016,2-3,"['1-3', '3-0', '3-0', '0-3', '1-3']",2,3,8,9
Friend Club 5,United Services Recreation Club 3,Cornwall Street (CSPSC),9,05/12/2016,4-1,"['0-3', '3-1', '3-0', '3-0', '3-0']",4,1,12,4
Hong Kong Football Club 8B,Friend Club 5,Hong Kong Football Club (HKFC),10,12/12/2016,2-3,"['3-2', '2-3', '0-3', '3-1', '2-3']",2,3,10,12
Head Shatin 3,United Services Recreation Club 3,Cornwall Street (CSPSC),10,12/12/2016,2-3,"['2-3', '3-1', '2-3', '3-1', '0-3']",2,3,10,11
The Zero Squash Club 1,i-MASK Advance Squash Club 6,Cheung Fat (CFSC),10,12/12/2016,0-5,"['1-3', '0-3', '2-3', '1-3', '0-3']",0,5,4,15
Friend Club 5,Alpha CUHK 1,Pei Ho Street (PHSSC),11,09/01/2017,5-0,"['3-0', '3-1', '3-0', '3-0', '3-0']",5,0,15,1
Head Shatin 3,Hong Kong Football Club 8B,Cornwall Street (CSPSC),11,09/01/2017,2-3,"['3-1', '1-3', '3-2', '1-3', '1-3']",2,3,9,12
i-MASK Advance Squash Club 6,United Services Recreation Club 3,Cornwall Street (CSPSC),11,09/01/2017,5-0,"['3-0', '3-0', '3-1', '3-0', '3-0']",5,0,15,1
i-MASK Advance Squash Club 6,Hong Kong Football Club 8B,Cornwall Street (CSPSC),12,16/01/2017,1-4,"['1-3', '2-3', '0-3', '3-1', '0-3']",1,4,6,13
The Zero Squash Club 1,United Services Recreation Club 3,Cheung Fat (CFSC),12,16/01/2017,3-2,"['3-0', '2-3', '3-2', '3-1', '2-3']",3,2,13,9
Alpha CUHK 1,Head Shatin 3,Chinese University of HK (CUHK),12,16/01/2017,3-2,"['3-0', '0-3', '3-0', '0-3', 'WO']",3,2,9,6
i-MASK Advance Squash Club 6,Alpha CUHK 1,Cornwall Street (CSPSC),13,06/02/2017,3-2,"['2-3', '2-3', '3-1', '3-0', '3-0']",3,2,13,7
Head Shatin 3,Friend Club 5,Cornwall Street (CSPSC),13,06/02/2017,1-4,"['2-3', '1-3', '0-3', '0-3', '3-1']",1,4,6,13
Hong Kong Football Club 8B,The Zero Squash Club 1,Hong Kong Football Club (HKFC),13,06/02/2017,3-2,"['3-2', '3-0', '2-3', '3-0', '2-3']",3,2,13,8
United Services Recreation Club 3,Hong Kong Football Club 8B,United Services Recreation Club (USRC),14,13/02/2017,1-4,"['1-3', '0-3', '3-2', '0-3', '1-3']",1,4,5,14
Friend Club 5,i-MASK Advance Squash Club 6,Kwun Chung (KCSC),14,13/02/2017,4-1,"['3-2', '3-0', '3-1', '3-0', '0-3']",4,1,12,6
The Zero Squash Club 1,Alpha CUHK 1,Cheung Fat (CFSC),14,13/02/2017,3-2,"['1-3', '1-3', '3-0', '3-1', '3-0']",3,2,11,7
United Services Recreation Club 3,Alpha CUHK 1,United Services Recreation Club (USRC),15,20/02/2017,4-1,"['0-3', '3-2', '3-2', '3-0', '3-1']",4,1,12,8
Friend Club 5,The Zero Squash Club 1,Kwun Chung (KCSC),15,20/02/2017,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0
Head Shatin 3,i-MASK Advance Squash Club 6,Cornwall Street (CSPSC),15,20/02/2017,1-4,"['2-3', '1-3', '0-3', '3-0', '0-3']",1,4,6,12
Head Shatin 3,The Zero Squash Club 1,Cornwall Street (CSPSC),16,27/02/2017,5-0,"['3-2', '3-1', '3-1', '3-0', '3-2']",5,0,15,6
United Services Recreation Club 3,Friend Club 5,United Services Recreation Club (USRC),16,27/02/2017,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
Alpha CUHK 1,Hong Kong Football Club 8B,Chinese University of HK (CUHK),16,27/02/2017,2-3,"['3-0', '0-3', '3-0', '1-3', '0-3']",2,3,7,9
Friend Club 5,Hong Kong Football Club 8B,Pei Ho Street (PHSSC),17,06/03/2017,3-2,"['3-2', '0-3', '3-1', '3-1', '0-3']",3,2,9,10
United Services Recreation Club 3,Head Shatin 3,United Services Recreation Club (USRC),17,06/03/2017,1-4,"['0-3', '3-0', '1-3', '0-3', '0-3']",1,4,4,12
i-MASK Advance Squash Club 6,The Zero Squash Club 1,Cornwall Street (CSPSC),17,06/03/2017,2-3,"['3-0', '3-0', '1-3', '0-3', '1-3']",2,3,8,9
i-MASK Advance Squash Club 6,United Services Recreation Club 3,Cornwall Street (CSPSC),18,13/03/2017,3-2,"['2-3', '1-3', '3-1', '3-1', '3-2']",3,2,12,10
Head Shatin 3,Hong Kong Football Club 8B,Cornwall Street (CSPSC),18,13/03/2017,1-4,"['2-3', '0-3', '3-2', '0-3', '2-3']",1,4,7,14
Alpha CUHK 1,Friend Club 5,Chinese University of HK (CUHK),18,13/03/2017,1-4,"['3-1', '0-3', '0-3', '0-3', '0-3']",1,4,3,13
The Zero Squash Club 1,United Services Recreation Club 3,Cheung Fat (CFSC),19,20/03/2017,3-2,"['1-3', '3-1', '3-0', '0-3', 'WO']",3,2,10,7
Hong Kong Football Club 8B,i-MASK Advance Squash Club 6,Hong Kong Football Club (HKFC),19,20/03/2017,3-2,"['3-2', '3-0', '0-3', '1-3', '3-0']",3,2,10,8
Head Shatin 3,Alpha CUHK 1,Cornwall Street (CSPSC),19,20/03/2017,0-5,"['WO', 'WO', 'WO', 'WO', 'WO']",0,5,0,15
Friend Club 5,Head Shatin 3,Pei Ho Street (PHSSC),20,27/03/2017,5-0,"['3-2', '3-2', '3-1', '3-2', '3-0']",5,0,15,7
Alpha CUHK 1,i-MASK Advance Squash Club 6,Chinese University of HK (CUHK),20,27/03/2017,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
The Zero Squash Club 1,Hong Kong Football Club 8B,Cornwall Street (CSPSC),20,27/03/2017,0-5,"['2-3', '0-3', '2-3', '1-3', '0-3']",0,5,5,15
i-MASK Advance Squash Club 6,Friend Club 5,Cornwall Street (CSPSC),21,03/04/2017,1-4,"['1-3', '3-1', '1-3', '0-3', '2-3']",1,4,7,13
Alpha CUHK 1,The Zero Squash Club 1,Chinese University of HK (CUHK),21,03/04/2017,2-3,"['3-0', '3-0', '1-3', '0-3', '1-3']",2,3,8,9
United Services Recreation Club 3,Hong Kong Football Club 8B,United Services Recreation Club (USRC),21,03/04/2017,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15
