Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5
JESSICA L3,16,13.0,3.0,58.0,100.0,100.0,0.0,0.0,0.0,0.0
Hong Kong Football Club L3B,16,10.0,6.0,45.0,100.0,0.0,100.0,0.0,0.0,0.0
Hong Kong Cricket Club L3,16,9.0,7.0,42.0,100.0,0.0,0.0,100.0,0.0,0.0
Hong Kong Football Club L3A,16,4.0,12.0,32.0,100.0,0.0,0.0,0.0,100.0,0.0
Hong Kong Football Club L3C,16,4.0,12.0,22.0,0.0,0.0,0.0,0.0,0.0,100.0
