Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
X-Alpha 1,66.66666666666666,100.0,100.0,100.0,100.0,93.33333333333333,10
Kowloon Cricket Club 3A,80.0,40.0,60.0,75.0,50.0,61.0,23
Happy Squash 1,75.0,100.0,50.0,50.0,0.0,55.0,19
NEXUS 1,60.0,60.0,50.0,50.0,50.0,54.0,16
Kowloon Cricket Club 3B,40.0,60.0,60.0,80.0,25.0,53.0,24
Hong Kong Football Club 3A,40.0,40.0,80.0,60.0,40.0,52.0,25
United Services Recreation Club 1,33.33333333333333,33.33333333333333,16.666666666666664,50.0,66.66666666666666,39.99999999999999,30
Hong Kong Football Club 3B,50.0,25.0,0.0,33.33333333333333,0.0,21.666666666666664,15
