Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Electrify Squash Div 13,66.66666666666666,100.0,100.0,100.0,100.0,93.33333333333333,14
Fusion Squash Club 2,50.0,100.0,50.0,100.0,100.0,80.0,10
X-Alpha 5,50.0,50.0,100.0,100.0,100.0,80.0,10
Energy Squash Club 1,66.66666666666666,33.33333333333333,100.0,50.0,100.0,70.0,12
SocGen Squash,33.33333333333333,66.66666666666666,100.0,50.0,100.0,70.0,13
HKIS Div 13,0.0,50.0,100.0,50.0,0.0,40.0,8
Energy Squash Club 2,0.0,0.0,100.0,100.0,0.0,40.0,5
Kinetic 4,0.0,0.0,0.0,0.0,0.0,0.0,5
Yuen Long District Sports Association Limited,0.0,0.0,0.0,0.0,0.0,0.0,2
Sha Tin 6,0.0,0.0,0.0,0.0,0.0,0.0,0
i-Mask Advance Squash Club 5,0.0,0.0,0.0,0.0,0.0,0.0,0
