Team,Played,Won,Lost,Points
JESSICA L1,3,3,0,10
Hong Kong Football Club L1,2,1,1,5
Kowloon Cricket Club L1A,2,1,1,5
Kowloon Cricket Club L1B,3,1,2,4
Hong Kong Cricket Club L1,2,0,2,0
