Team,Played,Won,Lost,Points
Hong Kong Football Club M1A,3,3,0,11
Hong Kong Cricket Club M1A,2,2,0,8
Hong Kong Football Club M1B,2,1,1,3
Hong Kong Cricket Club M1B,3,0,3,2
Squashathon M+,2,0,2,0
