Team,Played,Won,Lost,Points
North District Sports Association 2,18,17,1,87
Squashathon 1,18,12,6,72
X-Alpha 5,18,11,7,65
Bravo,18,9,9,60
Humphrey Squash,18,8,10,56
Yuen Long District Sports Association Limited,18,3,15,21
HK Squash Gear,18,3,15,3
