Team,Played,Won,Lost,Points
Xavier,18,15,3,82
Banbil,18,13,5,66
Vitality Squash 1,18,11,7,63
Hong Kong Football Club 11,18,10,8,59
RELAY 1,18,7,11,43
TOMCAT,18,4,14,35
Hong Kong Cricket Club 5,18,3,15,30
