Home Team,Away Team,Venue,Match Week,Date
Electrify Squash Div 15,Happy Squash 5,HK Squash Centre,5,2025-11-22
TKO Junior 2,Dream Catchers,Cornwall Street Squash Centre,5,2025-11-22
NEXUS 4,Vitality Squash 3,Cornwall Street Squash Centre,5,2025-11-22
RC,Squashathon Junior,HK Squash Centre,5,2025-11-22
Happy Squash 5,Squashathon Junior,Cornwall Street Squash Centre,6,2025-11-29
Vitality Squash 3,RC,Cornwall Street Squash Centre,6,2025-11-29
Dream Catchers,NEXUS 4,Java Road Sports Centre,6,2025-11-29
Electrify Squash Div 15,TKO Junior 2,Cornwall Street Squash Centre,6,2025-11-29
TKO Junior 2,Happy Squash 5,Cornwall Street Squash Centre,7,2025-12-13
NEXUS 4,Electrify Squash Div 15,Cornwall Street Squash Centre,7,2025-12-13
RC,Dream Catchers,HK Squash Centre,7,2025-12-13
Squashathon Junior,Vitality Squash 3,Cornwall Street Squash Centre,7,2025-12-13
Happy Squash 5,Vitality Squash 3,Cornwall Street Squash Centre,8,2025-12-20
Squashathon Junior,Dream Catchers,Cornwall Street Squash Centre,8,2025-12-20
RC,Electrify Squash Div 15,Harbour Road Sports Centre,8,2025-12-20
NEXUS 4,TKO Junior 2,Cornwall Street Squash Centre,8,2025-12-20
NEXUS 4,Happy Squash 5,Cornwall Street Squash Centre,9,2026-01-10
TKO Junior 2,RC,Cornwall Street Squash Centre,9,2026-01-10
Electrify Squash Div 15,Squashathon Junior,HK Squash Centre,9,2026-01-10
Dream Catchers,Vitality Squash 3,Java Road Sports Centre,9,2026-01-10
Happy Squash 5,Dream Catchers,Cornwall Street Squash Centre,10,2026-01-17
Vitality Squash 3,Electrify Squash Div 15,HK Squash Centre,10,2026-01-17
Squashathon Junior,TKO Junior 2,Cornwall Street Squash Centre,10,2026-01-17
RC,NEXUS 4,HK Squash Centre,10,2026-01-17
RC,Happy Squash 5,HK Squash Centre,11,2026-01-24
NEXUS 4,Squashathon Junior,Cornwall Street Squash Centre,11,2026-01-24
TKO Junior 2,Vitality Squash 3,Cornwall Street Squash Centre,11,2026-01-24
Electrify Squash Div 15,Dream Catchers,HK Squash Centre,11,2026-01-24
Happy Squash 5,Electrify Squash Div 15,Cornwall Street Squash Centre,12,2026-01-31
Dream Catchers,TKO Junior 2,Java Road Sports Centre,12,2026-01-31
Vitality Squash 3,NEXUS 4,HK Squash Centre,12,2026-01-31
Squashathon Junior,RC,Cornwall Street Squash Centre,12,2026-01-31
Squashathon Junior,Happy Squash 5,Cornwall Street Squash Centre,13,2026-02-07
RC,Vitality Squash 3,HK Squash Centre,13,2026-02-07
NEXUS 4,Dream Catchers,Cornwall Street Squash Centre,13,2026-02-07
TKO Junior 2,Electrify Squash Div 15,Cornwall Street Squash Centre,13,2026-02-07
Happy Squash 5,TKO Junior 2,Cornwall Street Squash Centre,14,2026-02-14
Electrify Squash Div 15,NEXUS 4,HK Squash Centre,14,2026-02-14
Dream Catchers,RC,Java Road Sports Centre,14,2026-02-14
Vitality Squash 3,Squashathon Junior,HK Squash Centre,14,2026-02-14
Vitality Squash 3,Happy Squash 5,HK Squash Centre,15,2026-03-07
Dream Catchers,Squashathon Junior,Java Road Sports Centre,15,2026-03-07
Electrify Squash Div 15,RC,HK Squash Centre,15,2026-03-07
TKO Junior 2,NEXUS 4,Cornwall Street Squash Centre,15,2026-03-07
Happy Squash 5,NEXUS 4,Cornwall Street Squash Centre,16,2026-03-14
RC,TKO Junior 2,HK Squash Centre,16,2026-03-14
Squashathon Junior,Electrify Squash Div 15,Cornwall Street Squash Centre,16,2026-03-14
Vitality Squash 3,Dream Catchers,HK Squash Centre,16,2026-03-14
Dream Catchers,Happy Squash 5,Java Road Sports Centre,17,2026-03-21
Electrify Squash Div 15,Vitality Squash 3,HK Squash Centre,17,2026-03-21
TKO Junior 2,Squashathon Junior,Cornwall Street Squash Centre,17,2026-03-21
NEXUS 4,RC,Cornwall Street Squash Centre,17,2026-03-21
Happy Squash 5,RC,Cornwall Street Squash Centre,18,2026-03-28
Squashathon Junior,NEXUS 4,Cornwall Street Squash Centre,18,2026-03-28
Vitality Squash 3,TKO Junior 2,HK Squash Centre,18,2026-03-28
Dream Catchers,Electrify Squash Div 15,HK Squash Centre,18,2026-03-28
Electrify Squash Div 15,Happy Squash 5,HK Squash Centre,19,2026-04-11
TKO Junior 2,Dream Catchers,Cornwall Street Squash Centre,19,2026-04-11
NEXUS 4,Vitality Squash 3,Cornwall Street Squash Centre,19,2026-04-11
RC,Squashathon Junior,HK Squash Centre,19,2026-04-11
Happy Squash 5,Squashathon Junior,Cornwall Street Squash Centre,20,2026-04-18
Vitality Squash 3,RC,HK Squash Centre,20,2026-04-18
Dream Catchers,NEXUS 4,HK Squash Centre,20,2026-04-18
Electrify Squash Div 15,TKO Junior 2,HK Squash Centre,20,2026-04-18
TKO Junior 2,Happy Squash 5,Cornwall Street Squash Centre,21,2026-04-25
NEXUS 4,Electrify Squash Div 15,Cornwall Street Squash Centre,21,2026-04-25
RC,Dream Catchers,HK Squash Centre,21,2026-04-25
Squashathon Junior,Vitality Squash 3,Cornwall Street Squash Centre,21,2026-04-25
