Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Hong Kong Football Club 6B,Hong Kong Football Club,2.3333333333333335,0.0,2.3333333333333335
Hong Kong Football Club 6A,Hong Kong Football Club,2.25,0.0,2.25
Kowloon Cricket Club 6A,Kowloon Cricket Club,4.0,2.6666666666666665,1.3333333333333335
United Services Recreation Club 2,United Services Recreation Club,4.5,3.5,1.0
Kowloon Cricket Club 6B,Kowloon Cricket Club,4.666666666666667,4.0,0.666666666666667
Hong Kong Cricket Club 4,Hong Kong Cricket Club,3.0,2.75,0.25
Global Squash 1,HK Squash Centre,1.6666666666666667,1.6666666666666667,0.0
Friend Club 3,Cornwall Street Squash Centre,1.0,1.6,-0.6000000000000001
Social Squash Team,HK Squash Centre,0.6666666666666666,1.6666666666666667,-1.0
Hong Kong Football Club 6C,Hong Kong Football Club,1.0,2.3333333333333335,-1.3333333333333335
