Team,Played,Won,Lost,Points
Phoenix 1,16,14,2,75
The Hong Kong Jockey Club M4,16,11,5,69
Hong Kong Cricket Club Young Masters,16,12,4,65
Perrier Sergio Tacchini KCC M4,16,11,5,63
WAKO Masters,16,10,6,59
Bolton,16,7,9,42
HK Club Blue,16,4,12,25
Hong Kong Football Club M4,16,3,13,24
Royal Hong Kong Yacht Club M4,16,0,16,6
