Team,Played,Won,Lost,Points
Martinis,18,13,5,72
i-Mask Advance Squash Club 7,18,13,5,71
The Zero Squash Club D12,18,11,7,54
Revolution,18,8,10,49
Kinetic 3,18,7,11,47
North District Sports Association 1,18,6,12,39
Hong Kong Cricket Club 7,18,5,13,32
