Team,Played,Won,Lost,Points
Super 8,22,20,2,103
The Zero Squash Club D10,22,17,5,95
Hong Kong Football Club 10A,22,17,5,93
Andy and Friends,22,15,7,78
Hong Kong Football Club 10B,22,13,9,71
Alpha CUHK 1,22,11,11,70
Police 1,22,9,13,58
Tomcat,22,9,13,58
Hong Kong Cricket Club 5,22,10,12,57
i-Mask Advance Squash Club 5,22,7,15,54
Xavier,22,4,18,46
Royal Hong Kong Yacht Club 10,22,0,22,5
