Team,Played,Won,Lost,Points
Hong Kong Cricket Club 8,22,19,3,103
i-Mask Advance Squash Club 14,22,18,4,98
Head Sha Tin 6,22,14,8,86
Giant 4,22,15,7,82
KYS 1,22,15,7,82
Skyers,22,13,9,80
Hong Kong Football Club 18,22,12,10,71
Spark 4,22,9,13,56
Sun Baby,22,5,17,42
Kwai Tsing District Squash Club 3,22,6,16,40
Relay 2,22,3,19,25
Vitality Squash 5,22,3,19,14
