Team,Played,Won,Lost,Points
7NT,21,18,3,105
i-Mask Advance Squash Club 13,21,19,2,103
The Zero Squash Club D17,21,16,5,87
Kinetic 7,21,11,10,64
Giant 3,21,10,11,58
Kwai Tsing District Squash Club 2,21,4,17,30
Latecomers,21,4,17,17
Friend Club 6,21,2,19,17
