Team,Played,Won,Lost,Points
The Squash Club 2,21,16,5,85
Twister 2,21,16,5,84
Honey Badger 1,21,14,7,76
Head Sha Tin 4,21,13,8,76
Perrier Sergio Tacchini KCC 7,21,12,9,74
Studio Pro,21,6,15,49
HKU 2,21,5,16,36
Banbil,21,2,19,16
