Team,Played,Won,Lost,Points
The Zero Squash Club D19,21,18,3,92
United Services Recreation Club 4,21,15,6,87
i-Mask Advance Squash Club 15,21,15,6,85
Hong Kong Football Club 19,21,12,9,77
Smart Squash 6,21,11,10,63
KYS 2,21,7,14,47
Spark 5,21,6,15,33
Diocesan,21,0,21,4
