Team,Played,Won,Lost,Points
Hong Kong Football Club M2B,18,16,2,86
Ricci Hall Old Boys' Association,18,11,7,67
Hong Kong Football Club M2A,18,12,6,62
Friend Club Masters,18,11,7,60
United Services Recreation Club M2,18,6,12,45
Sovereign Group LRC Master,18,4,14,33
Discovery Bay Masters,18,3,15,23
