Team,Played,Won,Lost,Points
Hong Kong Football Club L1,16,12,4,46
Perrier Sergio Tacchini KCC L1,16,10,6,37
Young Player L1B,16,10,6,37
Hong Kong Cricket Club L1,16,6,10,24
Young Player L1A,16,2,14,13
