Team,Played,Won,Lost,Points
Perrier Sergio Tacchini KCC 8,21,18,3,97
Mercury,21,16,5,83
Hong Kong Football Club 13,21,14,7,80
Tuen Mun Squash Club 3,21,14,7,80
Bravo,21,9,12,53
Star River 2,21,7,14,51
Progressive Squash Club,21,3,18,28
Vitality Squash 3,21,3,18,6
