Team,Played,Won,Lost,Points
Perrier Ladies,20,15,5,73
Hong Kong Cricket Club Rockettes,20,15,5,68
Polladies,20,11,9,58
Hong Kong Football Club L3B,20,10,10,45
Hong Kong Football Club L3A,20,5,15,28
Hong Kong Football Club L3C,20,4,16,27
