Team,Played,Won,Lost,Points
Hong Kong Football Club L2B,16,12,4,55
Hong Kong Cricket Club L2A,16,11,5,51
Hong Kong Football Club L2A,16,7,9,36
Hong Kong Cricket Club L2B,16,7,9,32
Hong Kong Football Club L2C,16,3,13,21
