Team,Played,Won,Lost,Points
United Services Recreation Club 3,21,21,0,106
KTSC,21,16,5,90
i-Mask Advance Squash Club 9,21,14,7,77
Island Squash Racket Club - United 2,21,12,9,72
Kwai Tsing District Squash Club 1,21,10,11,66
Kinetic 4,21,5,16,40
Visions,21,3,18,27
Honey Badger 2,21,3,18,10
