Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
North District Sports Association 1,16,15,1,75,60,20
South China Athletic Association,16,13,3,69,56,24
Winter Warriors,16,11,5,66,55,25
Alpha CUHK,15,11,4,65,54,21
Sea Bear,16,10,6,61,51,29
Hong Kong Football Club 12A,16,12,4,59,47,33
Star River 2,16,6,10,39,33,47
Hong Kong Football Club 12B,16,5,11,34,30,50
ZOMA,15,4,11,33,29,46
Hong Kong Racketlon Assoication 2,15,4,11,25,22,53
CSD Squash Team,15,2,13,19,18,57
Latecomers,16,1,15,12,15,65
