Team,Played,Won,Lost,Points
JESSICA L3,4,3,1,15
Hong Kong Cricket Club L3,4,4,0,14
Hong Kong Football Club L3B,4,2,2,10
Hong Kong Football Club L3A,4,1,3,7
Hong Kong Football Club L3C,4,0,4,4
