Team,Played,Won,Lost,Points
JESSICA L1,4,3,1,11
Kowloon Cricket Club L1A,4,3,1,11
Kowloon Cricket Club L1B,4,2,2,7
Hong Kong Football Club L1,4,1,3,7
Hong Kong Cricket Club L1,4,1,3,4
