Team,Played,Won,Lost,Points
Kowloon Cricket Club 1A,5,3,2,13
Hong Kong Football Club 1B,5,3,2,11
Hong Kong Cricket Club D1,5,3,2,11
FWD,5,3,2,11
Hong Kong Football Club 1A,5,2,3,10
Kowloon Cricket Club 1B,5,1,4,4
