Team,Played,Won,Lost,Points
Hong Kong Football Club M1A,4,4,0,14
Hong Kong Football Club M1B,4,3,1,10
Hong Kong Cricket Club M1A,4,2,2,10
Squashathon M+,4,1,3,3
Hong Kong Cricket Club M1B,4,0,4,3
