Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,VenueType,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
Electrify Squash Div 13,Yuen Long District Sports Association Limited,HK Squash Centre,1,03/10/2025,5-0,"['3-2', '3-0', '3-0', 'CR', 'CR']",5,0,15,2,home,Electrify Squash Div 13,Electrify Squash Div 13,Electrify Squash Div 13,,
Hong Kong Football Club 13,Fusion Squash Club 3,Hong Kong Football Club,1,03/10/2025,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0,home,Hong Kong Football Club 13,Hong Kong Football Club 13,Hong Kong Football Club 13,Hong Kong Football Club 13,Hong Kong Football Club 13
Squashathon One,TNG 2,Cornwall Street Squash Centre,1,03/10/2025,4-1,"['3-0', '0-3', 'CR', 'CR', 'CR']",4,1,12,3,shared_home,Squashathon One,TNG 2,,,
Happy Squash 4,Kowloon Cricket Club 13,Wai Tsuen Sports Centre,1,03/10/2025,3-2,"['3-1', '3-1', '1-3', '1-3', 'CR']",3,2,11,8,home,Happy Squash 4,Happy Squash 4,Kowloon Cricket Club 13,Kowloon Cricket Club 13,
TNG 2,Happy Squash 4,Cornwall Street Squash Centre,2,10/10/2025,2-3,"['0-3', '1-3', '3-0', '1-3', '3-0']",2,3,8,9,home,Happy Squash 4,Happy Squash 4,TNG 2,Happy Squash 4,TNG 2
Fusion Squash Club 3,Squashathon One,HK Squash Centre,2,10/10/2025,3-2,"['3-0', '0-3', '3-1', '3-0', '1-3']",3,2,10,7,home,Fusion Squash Club 3,Squashathon One,Fusion Squash Club 3,Fusion Squash Club 3,Squashathon One
Electrify Squash Div 13,Hong Kong Football Club 13,HK Squash Centre,2,10/10/2025,3-2,"['0-3', '1-3', 'CR', 'CR', 'CR']",3,2,10,6,home,Hong Kong Football Club 13,Hong Kong Football Club 13,,,
Kinetic 4,Yuen Long District Sports Association Limited,Pei Ho Street Sports Centre,2,10/10/2025,2-3,"['0-3', '0-3', '1-3', '3-2', '3-0']",2,3,7,11,home,Yuen Long District Sports Association Limited,Yuen Long District Sports Association Limited,Yuen Long District Sports Association Limited,Kinetic 4,Kinetic 4
Hong Kong Football Club 13,Kinetic 4,Hong Kong Football Club,3,17/10/2025,5-0,"['3-0', '3-1', '3-0', '3-0', 'CR']",5,0,15,1,home,Hong Kong Football Club 13,Hong Kong Football Club 13,Hong Kong Football Club 13,Hong Kong Football Club 13,
Squashathon One,Electrify Squash Div 13,Cornwall Street Squash Centre,3,17/10/2025,2-3,"['0-3', '0-3', '1-3', '3-1', '3-0']",2,3,7,10,home,Electrify Squash Div 13,Electrify Squash Div 13,Electrify Squash Div 13,Squashathon One,Squashathon One
Happy Squash 4,Fusion Squash Club 3,Wai Tsuen Sports Centre,3,17/10/2025,4-1,"['3-0', '0-3', '3-2', '3-0', 'CR']",4,1,12,5,home,Happy Squash 4,Fusion Squash Club 3,Happy Squash 4,Happy Squash 4,
Kowloon Cricket Club 13,TNG 2,Kowloon Cricket Club,3,17/10/2025,4-1,"['2-3', '3-0', '3-1', '3-0', '3-1']",4,1,14,5,home,TNG 2,Kowloon Cricket Club 13,Kowloon Cricket Club 13,Kowloon Cricket Club 13,Kowloon Cricket Club 13
Fusion Squash Club 3,Kowloon Cricket Club 13,HK Squash Centre,4,24/10/2025,2-3,"['0-3', '1-3', '3-2', '3-2', '0-3']",2,3,7,13,home,Kowloon Cricket Club 13,Kowloon Cricket Club 13,Fusion Squash Club 3,Fusion Squash Club 3,Kowloon Cricket Club 13
Electrify Squash Div 13,Happy Squash 4,HK Squash Centre,4,24/10/2025,2-3,"['0-3', '1-3', '0-3', '3-2', '3-2']",2,3,7,13,home,Happy Squash 4,Happy Squash 4,Happy Squash 4,Electrify Squash Div 13,Electrify Squash Div 13
Kinetic 4,Squashathon One,Pei Ho Street Sports Centre,4,24/10/2025,1-4,"['3-1', '0-3', '0-3', '0-3', '0-3']",1,4,3,13,home,Kinetic 4,Squashathon One,Squashathon One,Squashathon One,Squashathon One
Yuen Long District Sports Association Limited,Hong Kong Football Club 13,Yuen Long Jockey Club Squash Courts,4,24/10/2025,4-1,"['1-3', 'CR', 'CR', 'CR', 'CR']",4,1,13,3,home,Hong Kong Football Club 13,,,,
Squashathon One,Yuen Long District Sports Association Limited,HK Squash Centre,5,31/10/2025,4-1,"['3-2', '3-0', '3-0', '3-0', '1-3']",4,1,13,5,neutral,Squashathon One,Squashathon One,Squashathon One,Squashathon One,Yuen Long District Sports Association Limited
Happy Squash 4,Kinetic 4,Yeung Uk Road Sports Centre,5,31/10/2025,3-2,"['2-3', '3-0', '3-1', '1-3', 'CR']",3,2,12,7,neutral,Kinetic 4,Happy Squash 4,Happy Squash 4,Kinetic 4,
Kowloon Cricket Club 13,Electrify Squash Div 13,Kowloon Cricket Club,5,31/10/2025,3-2,"['3-2', '0-3', '1-3', '3-0', '3-1']",3,2,10,9,home,Kowloon Cricket Club 13,Electrify Squash Div 13,Electrify Squash Div 13,Kowloon Cricket Club 13,Kowloon Cricket Club 13
Fusion Squash Club 3,TNG 2,HK Squash Centre,5,31/10/2025,2-3,"['3-0', '1-3', '0-3', '0-3', 'CR']",2,3,4,12,home,Fusion Squash Club 3,TNG 2,TNG 2,TNG 2,
Electrify Squash Div 13,TNG 2,HK Squash Centre,6,07/11/2025,4-1,"['1-3', '3-0', '3-0', 'CR', 'CR']",4,1,13,3,home,TNG 2,Electrify Squash Div 13,Electrify Squash Div 13,,
