Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 5,13,13,0,61,48,17,0,0,0,0
The Squash Club 3,14,9,5,51,42,28,0,0,0,0
Kinetic 3,13,10,3,47,37,28,0,0,0,0
BOSS,13,7,6,41,34,31,0,0,0,0
Star River 1,15,6,9,41,35,40,0,0,0,0
Global Squash 2,14,6,8,41,35,35,0,0,0,0
Tuen Mun Squash Club,13,7,6,39,32,33,0,0,0,0
HKCC Tuesday Night Rockers,12,6,6,37,31,29,0,0,0,0
i-Mask Advance Squash Club 4,13,5,8,33,28,37,0,0,0,0
7NT,13,2,11,26,24,41,0,0,0,0
Invader Squash,13,2,11,21,19,46,0,0,0,0
