Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
X-Alpha 2,14,12,2,63,51,19,0,1,0,1
Hong Kong Football Club 5A,14,12,2,62,50,20,0,1,0,1
Physical Chess 1,14,11,3,54,43,27,0,3,0,0
Hong Kong Racketlon Association 1,14,8,6,47,39,31,0,0,0,0
Uncle,14,7,7,40,35,35,0,2,0,1
The Squash Club 1,15,5,10,39,34,41,0,1,0,0
Squashathon,15,6,9,37,33,42,0,2,2,0
Happy Squash 2,14,5,9,34,30,40,5,3,1,0
Hong Kong Football Club 5B,14,4,10,32,28,42,7,0,0,0
i-Mask Advance Squash Club 1,14,1,13,13,12,58,4,3,0,0
