Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Energy Squash Club 2,HK Squash Centre,3.1666666666666665,1.0,2.1666666666666665
HKIS Div 13,HK Squash Centre,2.6666666666666665,0.6,2.0666666666666664
Energy Squash Club 1,Kwun Chung Sports Centre,2.857142857142857,1.25,1.6071428571428572
Kinetic 4,Pei Ho Street Sports Centre,3.142857142857143,1.8571428571428572,1.2857142857142856
i-Mask Advance Squash Club 5,Cornwall Street Squash Centre,2.2857142857142856,1.125,1.1607142857142856
Happy Squash 4,Wai Tsuen Sports Centre,2.5,1.375,1.125
Sha Tin 6,Cornwall Street Squash Centre,4.2,3.2222222222222223,0.9777777777777779
X-Alpha 5,Tai Po Sports Ground,2.888888888888889,2.0,0.8888888888888888
Yuen Long District Sports Association Limited,Yuen Long Jockey Club Squash Courts,3.0,2.125,0.875
Electrify Squash Div 13,HK Squash Centre,4.6,4.2,0.39999999999999947
SocGen Squash,HK Squash Centre,3.1666666666666665,2.8,0.3666666666666667
Fusion Squash Club 2,HK Squash Centre,2.75,2.5,0.25
