Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Sha Tin 3,75.0,75.0,91.66666666666666,100.0,100.0,88.33333333333333,58
Hong Kong Football Club 8,64.28571428571429,71.42857142857143,61.53846153846154,91.66666666666666,66.66666666666666,71.11721611721612,62
Ladies Recreation Club Div 8,63.63636363636363,81.81818181818183,80.0,40.0,62.5,65.5909090909091,50
Squashathon Zero,38.46153846153847,38.46153846153847,46.15384615384615,53.84615384615385,66.66666666666666,48.717948717948715,64
Striving Squash,93.33333333333333,40.0,40.0,42.857142857142854,15.384615384615385,46.315018315018314,72
Physical Chess 3,30.76923076923077,30.76923076923077,23.076923076923077,53.84615384615385,63.63636363636363,40.41958041958041,63
TOMCAT,38.46153846153847,61.53846153846154,23.076923076923077,23.076923076923077,40.0,37.23076923076923,62
i-Mask Advance Squash Club 2,25.0,41.66666666666667,66.66666666666666,16.666666666666664,0.0,29.999999999999993,56
Kinetic 2,15.384615384615385,15.384615384615385,30.76923076923077,30.76923076923077,33.33333333333333,25.128205128205128,61
