Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
JESSICA L1,5,4,1,15,11,4
Kowloon Cricket Club L1A,5,3,2,13,10,5
Kowloon Cricket Club L1B,5,3,2,11,8,7
Hong Kong Football Club L1,4,2,2,7,5,7
Hong Kong Cricket Club L1,5,0,5,2,2,13
