Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Electrify Squash Div 15,6,6,0,30,24,6
RELAY 2,6,4,2,25,21,9
Fusion Squash Club 3,6,3,3,19,16,14
Squash-On,5,4,1,18,14,11
Squashathon MeGa,6,3,3,16,13,17
TNG 3,5,2,3,12,10,15
Serve - Ivors,6,1,5,10,9,21
i-Mask Advance Squash Club 6,6,0,6,8,8,22
