Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
i-Mask Advance Squash Club L3,6,4,2,15,11,7
Hong Kong Football Club L3B,6,4,2,14,10,8
Hong Kong Cricket Club Rockettes,6,3,3,13,10,8
Hong Kong Football Club L3C,6,3,3,12,9,9
JESSICA L3,6,2,4,10,8,10
Hong Kong Football Club L3A,6,2,4,8,6,12
