Home Team,Away Team,Venue,Match Week,Date
Happy Squash 3,Smart Squash 1,Wai Tsuen Sports Centre,19,2026-03-13
Vitality Squash 1,X-Alpha 4,HK Squash Centre,19,2026-03-13
TNG 1,Fusion Squash Club 2,Cornwall Street Squash Centre,19,2026-03-13
