Home Team,Away Team,Match Week,Date
Social Squash Team,Hong Kong Football Club 10B,8,2023-12-11
Twister 2,FC 3,8,2023-12-11
Hong Kong Football Club 10A,The Hong Kong Jockey Club Div 10,8,2023-12-11
The Best Group,HKU,8,2023-12-11
