Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Happy Squash Maru,10,10,0,49,0,1,0,1,39,11
i-Mask Advance Squash Club 4,9,8,1,46,0,2,0,1,38,7
Friend Club 7,10,6,4,40,2,3,0,0,34,16
YLJR 2,10,7,3,39,0,4,0,0,32,18
Fusion Squash Club 3,10,5,5,35,0,6,0,0,30,20
Smart Squash 2,10,5,5,31,5,0,0,0,26,24
United Services Recreation Club 4,9,2,7,13,1,1,0,0,11,34
Kinetic 1,10,1,9,9,0,5,0,0,8,42
Squashaholic,10,0,10,0,14,0,2,0,2,48
