Team,Played,Won,Lost,Points,CRs Given,CRs Received,WOs Given,WOs Received,Rubbers For,Rubbers Against
Friend Club 6,11,11,0,59,0,0,0,0,48,7
Hong Kong Cricket Club 4,11,8,3,41,1,0,0,0,33,22
Ossan's Squash,11,8,3,41,0,0,1,0,34,21
Social Squash Team,11,7,4,40,0,0,0,0,33,22
The Hong Kong Jockey Club Div 10,11,6,5,34,0,0,0,0,28,27
United Services Recreation Club 3,11,6,5,32,0,1,0,1,26,29
Hong Kong Football Club 10,10,5,5,29,0,0,0,0,24,26
Twister 2,11,4,7,29,0,0,0,0,25,30
The Squash Club 2,11,3,8,23,0,0,0,0,20,35
Old Squash Fellows,11,1,10,18,0,0,0,0,17,38
Friend Club 5,11,1,10,13,0,0,0,0,12,43
