Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
TNG 1,16,15,1,77,64,16,0,13,0,0
TNG 2,16,13,3,64,54,26,4,5,1,0
Royal Hong Kong Yacht Club Div 13,16,12,4,63,51,29,0,4,0,0
Greenfield,16,10,6,60,50,30,0,10,0,0
Arctic Circle,16,8,8,50,42,38,5,3,0,0
North District Sports Association 2,16,8,8,49,41,39,0,3,0,0
Squashathon PLZ,16,7,9,49,42,38,0,4,0,0
Bravo D13,16,6,10,40,34,46,9,7,0,0
Vitality Squash 3,16,6,10,32,26,54,21,2,0,1
M&M Squash,16,5,11,30,27,53,3,0,1,0
Physical Chess 4,16,3,13,28,26,54,13,4,0,0
Star River 3,16,3,13,26,23,57,0,0,0,1
