Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
X-Alpha 2,16,14,2,75,61,19,0,1,0,1
Hong Kong Football Club 5A,16,14,2,73,59,21,0,1,0,1
Physical Chess 1,16,12,4,62,50,30,0,4,0,0
Hong Kong Racketlon Association 1,16,8,8,50,42,38,0,0,0,0
The Squash Club 1,16,6,10,44,38,42,0,1,0,0
Happy Squash 2,16,7,9,42,36,44,5,3,1,0
Uncle,16,7,9,41,36,44,0,2,0,1
Hong Kong Football Club 5B,16,5,11,38,33,47,7,2,0,0
Squashathon,16,6,10,37,33,47,0,2,2,0
i-Mask Advance Squash Club 1,16,1,15,13,12,68,7,3,0,0
