Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
North District Sports Association 1,16,15,1,75,60,20,0,12,0,0
South China Athletic Association,16,13,3,69,56,24,0,5,0,0
Winter Warriors,16,11,5,66,55,25,4,2,0,1
Alpha CUHK,15,11,4,65,54,21,0,6,0,0
Sea Bear,16,10,6,61,51,29,0,3,0,0
Hong Kong Football Club 12A,16,12,4,59,47,33,0,5,0,0
Star River 2,16,6,10,39,33,47,0,9,0,0
Hong Kong Football Club 12B,16,5,11,34,30,50,4,14,1,0
ZOMA,15,4,11,33,29,46,0,7,0,0
Hong Kong Racketlon Assoication 2,15,4,11,25,22,53,17,1,0,1
CSD Squash Team,15,2,13,19,18,57,26,0,1,0
Latecomers,16,1,15,12,15,65,14,1,0,0
