Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8
North District Sports Association 1,21,15.139199999999999,5.860799999999999,86.3176,99.97999999999999,93.58,5.46,0.84,0.1,0.0,0.02,0.0,0.0
HKPF Squash Team,21,13.520199999999999,7.4798,75.0602,97.02000000000001,4.7,52.18000000000001,27.800000000000004,12.34,2.6599999999999997,0.32,0.0,0.0
Sha Tin Squash Rackets Club 4,21,11.6268,9.3732,71.5014,86.78,0.62,19.82,32.62,33.72,10.92,2.1999999999999997,0.1,0.0
Craigengower Cricket Club,21,13.0916,7.9084,71.3792,87.56,1.04,21.14,33.160000000000004,32.22,9.84,2.56,0.04,0.0
Star River 1,21,11.4986,9.5014,63.1078,19.36,0.04,1.1400000000000001,3.92,14.26,44.379999999999995,31.28,4.9799999999999995,0.0
Alpha CUHK,21,9.3122,11.6878,61.3886,9.18,0.02,0.26,1.66,7.24,29.56,52.14,9.120000000000001,0.0
Sea Bear,21,7.877,13.123000000000001,52.7298,0.12,0.0,0.0,0.0,0.12,2.64,11.48,85.76,0.0
Hong Kong Racketlon Association 2,21,1.9344000000000001,19.0656,22.5154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
