Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8,9,10,11,12
Electrify Squash Div 19,22,18.257025702570257,3.742974297429743,95.94129412941294,100.0,87.998799879988,11.981198119811982,0.020002000200020003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNG 3,22,18.57795779577958,3.422042204220422,92.18011801180118,100.0,11.981198119811982,85.14851485148515,2.8202820282028203,0.05000500050005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SocGen Squash,22,15.392039203920392,6.607960796079608,87.4933493349335,98.63986398639865,0.020002000200020003,2.8402840284028406,88.20882088208822,7.570757075707571,1.36013601360136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hong Kong Football Club 19,22,14.178117811781178,7.821882188218822,83.67036703670367,69.2969296929693,0.0,0.030003000300030006,6.910691069106911,62.35623562356236,30.703070307030707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hong Kong International School D19,22,14.248424842484248,7.751575157515751,81.91739173917392,32.06320632063206,0.0,0.0,2.04020402040204,30.023002300230022,67.93679367936794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Squashathon 2,22,10.557655765576557,11.442344234423443,59.372637263726375,0.0,0.0,0.0,0.0,0.0,0.0,93.63936393639364,6.350635063506351,0.010001000100010001,0.0,0.0,0.0,0.0
X-Alpha 6,22,10.191319131913191,11.808680868086809,54.7979797979798,0.0,0.0,0.0,0.0,0.0,0.0,6.360636063606361,88.92889288928892,4.51045104510451,0.2000200020002,0.0,0.0,0.0
The 8 Virtues,22,7.838383838383838,14.16161616161616,50.4011401140114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32043204320432,76.7976797679768,18.42184218421842,0.46004600460046,0.0,0.0
Sha Tin Squash Rackets Club 8,22,6.494549454945495,15.505450545054506,48.12141214121412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39003900390039004,17.25172517251725,66.87668766876688,15.401540154015404,0.08000800080008001,0.0
8 Virtues + 1,22,5.958195819581958,16.04180418041804,44.8022802280228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010001000100010001,1.4301430143014302,14.471447144714473,74.63746374637464,9.150915091509152,0.3000300030003
United Services Recreation Club 4,22,4.857885788578858,17.14211421142114,40.42074207420742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41044104410441,57.03570357035703,38.553855385538554
RELAY 2,22,5.448444844484449,16.55155515551555,39.88128812881288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030003000300030006,5.090509050905091,33.73337333733373,61.146114611461144
