Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8
X-Alpha 4,21,21.0,0.0,116.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fusion Squash Club 2,21,15.0,6.0,94.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitality Squash 2,21,13.0,8.0,73.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Happy Squash 3,21,10.0,11.0,65.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
i-Mask Advance Squash Club 8,21,11.0,10.0,59.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Smart Squash 2,21,8.0,13.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Friend Club 6,21,2.0,19.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
i-Mask Advance Squash Club 7,21,4.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
