Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5
Kowloon Cricket Club 3,16,13.8716,2.1284,71.1928,100.0,100.0,0.0,0.0,0.0,0.0
Hong Kong Football Club 3B,16,8.5098,7.4902,49.8114,99.96000000000001,0.0,80.86,18.2,0.8999999999999999,0.04
Hong Kong Football Club 3A,16,7.2966,8.7034,45.1034,97.38000000000001,0.0,18.26,68.76,10.36,2.62
Young Player 3,16,5.8472,10.1528,37.4594,63.540000000000006,0.0,0.48,8.44,54.620000000000005,36.46
Happy Squash 1,16,4.4748,11.5252,36.433,39.12,0.0,0.4,4.6,34.12,60.88
