Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5
Hong Kong Football Club M1B,16,13.583400000000001,2.4166,58.0208,99.99999999999999,82.72,16.82,0.45999999999999996,0.0,0.0
Hong Kong Football Club M1A,16,11.3772,4.6228,54.0286,100.0,17.0,78.4,4.6,0.0,0.0
Ladies Recreation Club M1,16,9.2782,6.7218,46.0196,100.0,0.27999999999999997,4.78,94.94,0.0,0.0
Hong Kong Cricket Club M1A,16,4.0598,11.9402,25.456200000000003,98.04,0.0,0.0,0.0,98.04,1.96
Hong Kong Cricket Club M1B,16,1.7014,14.2986,16.474800000000002,1.96,0.0,0.0,0.0,1.96,98.04
