Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6,7,8,9
Hong Kong Football Club 5,16,12.5834,3.4166,72.6148,100.0,38.32,52.059999999999995,9.62,0.0,0.0,0.0,0.0,0.0,0.0
X-Alpha 2,16,13.1268,2.8731999999999998,72.4638,100.0,51.44,26.240000000000002,22.32,0.0,0.0,0.0,0.0,0.0,0.0
Kowloon Cricket Club 5,16,13.4166,2.5834,69.6972,100.0,10.24,21.7,68.06,0.0,0.0,0.0,0.0,0.0,0.0
United Services Recreation Club 1,16,8.9908,7.0092,51.9508,90.38000000000001,0.0,0.0,0.0,90.38000000000001,9.28,0.33999999999999997,0.0,0.0,0.0
Sha Tin Squash Rackets Club 1,16,8.3904,7.6096,46.6842,9.44,0.0,0.0,0.0,9.44,67.58,22.98,0.0,0.0,0.0
i-Mask Advance Squash Club 1,16,7.0178,8.9822,45.0736,0.18,0.0,0.0,0.0,0.18,23.14,76.68,0.0,0.0,0.0
Electrify Squash Div 5,16,3.8142,12.1858,29.2974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.48,52.52,0.0
YLJR 1,16,3.5568,12.4432,29.2188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.52,47.48,0.0
Squashathon,16,1.1032,14.8968,12.9994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
