Team,Played,Won,Lost,Points,Playoffs,1,2,3,4,5,6
Hong Kong Football Club L2A,20,19.0,1.0,84.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
Kowloon Cricket Club L2,20,16.0,4.0,82.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
Hong Kong Cricket Club L2A,20,11.0,9.0,54.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0
Hong Kong Football Club L2C,20,7.0,13.0,33.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
Hong Kong Football Club L2B,20,3.0,17.0,26.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hong Kong Cricket Club L2B,20,4.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
