Home Team,vs,Away Team,Venue,Time,Result,Avg Simulated Home Points,Avg Simulated Away Points
Kinetic 3,v,i-Mask Advance Squash Club 6,HK Squash Centre,19:00,,4.74,1.26
Star River 2,v,Global Squash 2,Cornwall Street Squash Centre,19:00,,2.54,3.46
Latecomers,v,Hong Kong Football Club 16,HK Squash Centre,19:00,,1.72,4.28
Airporterz,v,Sha Tin Squash Rackets Club 6,Kwun Chung Sports Centre,19:00,,2.71,3.29
ZOMA,v,SQUASHTASTIC 8,Cornwall Street Squash Centre,19:00,,4.7,1.3
CSD Squash Team,v,Winter Warriors,HK Squash Centre,19:00,,2.16,3.84
Winter Warriors,v,Kinetic 3,HK Squash Centre,19:00,,1.42,4.58
SQUASHTASTIC 8,v,CSD Squash Team,Kwun Chung Sports Centre,19:00,,3.98,2.02
Sha Tin Squash Rackets Club 6,v,ZOMA,Cornwall Street Squash Centre,19:00,,3.4,2.6
Hong Kong Football Club 16,v,Airporterz,Hong Kong Football Club,19:00,,2.59,3.41
Latecomers,v,Global Squash 2,HK Squash Centre,19:00,,1.08,4.92
i-Mask Advance Squash Club 6,v,Star River 2,Cornwall Street Squash Centre,19:00,,2.4,3.6
Kinetic 3,v,Star River 2,HK Squash Centre,19:00,,3.7,2.3
Latecomers,v,i-Mask Advance Squash Club 6,HK Squash Centre,19:00,,2.3,3.7
Airporterz,v,Global Squash 2,Kwun Chung Sports Centre,19:00,,3.0,3.0
ZOMA,v,Hong Kong Football Club 16,Cornwall Street Squash Centre,19:00,,3.75,2.25
CSD Squash Team,v,Sha Tin Squash Rackets Club 6,HK Squash Centre,19:00,,1.14,4.86
Winter Warriors,v,SQUASHTASTIC 8,HK Squash Centre,19:00,,3.35,2.65
SQUASHTASTIC 8,v,Kinetic 3,Kwun Chung Sports Centre,19:00,,1.57,4.43
Sha Tin Squash Rackets Club 6,v,Winter Warriors,Cornwall Street Squash Centre,19:00,,4.61,1.39
Hong Kong Football Club 16,v,CSD Squash Team,Hong Kong Football Club,19:00,,4.48,1.52
Global Squash 2,v,ZOMA,Harbour Road Sports Centre,19:00,,3.29,2.71
i-Mask Advance Squash Club 6,v,Airporterz,Cornwall Street Squash Centre,19:00,,2.02,3.98
Star River 2,v,Latecomers,Cornwall Street Squash Centre,19:00,,4.78,1.22
Kinetic 3,v,Latecomers,HK Squash Centre,19:00,,4.86,1.14
Star River 2,v,Airporterz,Cornwall Street Squash Centre,19:00,,2.78,3.22
i-Mask Advance Squash Club 6,v,ZOMA,Cornwall Street Squash Centre,19:00,,1.65,4.35
Global Squash 2,v,CSD Squash Team,Harbour Road Sports Centre,19:00,,4.98,1.02
Winter Warriors,v,Hong Kong Football Club 16,HK Squash Centre,19:00,,2.28,3.72
SQUASHTASTIC 8,v,Sha Tin Squash Rackets Club 6,Kwun Chung Sports Centre,19:00,,1.53,4.47
Sha Tin Squash Rackets Club 6,v,Kinetic 3,Cornwall Street Squash Centre,19:00,,3.27,2.73
SQUASHTASTIC 8,v,Hong Kong Football Club 16,Kwun Chung Sports Centre,19:00,,2.63,3.37
Winter Warriors,v,Global Squash 2,HK Squash Centre,19:00,,2.08,3.92
CSD Squash Team,v,i-Mask Advance Squash Club 6,HK Squash Centre,19:00,,1.99,4.01
ZOMA,v,Star River 2,Cornwall Street Squash Centre,19:00,,3.88,2.12
Latecomers,v,Airporterz,HK Squash Centre,19:00,,1.31,4.69
Kinetic 3,v,Airporterz,HK Squash Centre,19:00,,3.48,2.52
Latecomers,v,ZOMA,HK Squash Centre,19:00,,1.1,4.9
Star River 2,v,CSD Squash Team,Cornwall Street Squash Centre,19:00,,4.76,1.24
i-Mask Advance Squash Club 6,v,Winter Warriors,Cornwall Street Squash Centre,19:00,,2.79,3.21
SQUASHTASTIC 8,v,Global Squash 2,Kwun Chung Sports Centre,19:00,,1.69,4.31
Hong Kong Football Club 16,v,Sha Tin Squash Rackets Club 6,Hong Kong Football Club,19:00,,2.21,3.79
Hong Kong Football Club 16,v,Kinetic 3,Hong Kong Football Club,19:00,,2.64,3.36
